"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 21 04:43:34 UTC 2022","Thu Apr 21 04:43:40 UTC 2022","5327","","Test Suite - Add Visit","","","","Test Visit Date - Select Date Picker",""
"passed","Thu Apr 21 04:43:11 UTC 2022","Thu Apr 21 04:43:19 UTC 2022","8286","","Test Suite - Add Visit","","","","Test Visit Date - Default Date",""
"passed","Thu Apr 21 04:43:29 UTC 2022","Thu Apr 21 04:43:34 UTC 2022","4901","","Test Suite - Add Visit","","","","Test Visit Date - Close Date Picker",""
"passed","Thu Apr 21 04:43:40 UTC 2022","Thu Apr 21 04:43:44 UTC 2022","4658","","Test Suite - Add Visit","","","","Test Time Slot - Select Checkbox",""
"passed","Thu Apr 21 04:43:24 UTC 2022","Thu Apr 21 04:43:29 UTC 2022","5044","","Test Suite - Add Visit","","","","Test Visit Date - Clear Date",""
"passed","Thu Apr 21 04:43:19 UTC 2022","Thu Apr 21 04:43:24 UTC 2022","5034","","Test Suite - Add Visit","","","","Test Visit Date - Today Date",""
